"screen_name","text","stripped_text1"
"CatoInstitute",".@MerriamWebster needs to update its definition of ""anti-vaxxer."" It shouldn't include people who are pro-<U+200B>vaccine but against mandatory vaccination, says @dr4liberty Jeffrey A. Singer... https://t.co/uqJMFtZD2z #CatoHealth https://t.co/zQppgeihkH"," needs to update its definition of antivaxxer it shouldnt include people who are proubvaccine but against mandatory vaccination says  jeffrey a singer  catohealth "
"DiamondHandsX","@Maria264506501 @Mary81340677 @johnpecco1 If only antifa was anti fascist and didnâ€™t run around imposing their ideologies on to people like fascists lol. What exactly is anti fascist about demanding vaccine mandates?","   if only antifa was anti fascist and didnâ€™t run around imposing their ideologies on to people like fascists lol what exactly is anti fascist about demanding vaccine mandates"
"ElBonitoGordito","Still do not see a single anti-vaxxer suggest to consult with your doctor on what vaccine works for you or not. Nope, itâ€™s all a deep state McDonaldâ€™s shit pit of crazy.","still do not see a single antivaxxer suggest to consult with your doctor on what vaccine works for you or not nope itâ€™s all a deep state mcdonaldâ€™s shit pit of crazy"
"AndrewM60645243","@TheSun Sad story but given the amount of ppl getting the vaccine, worldwide, why are they believing all the anti vaccine nonsense? Itâ€™s their own fault."," sad story but given the amount of ppl getting the vaccine worldwide why are they believing all the anti vaccine nonsense itâ€™s their own fault"
"HodgeYES7","@DrOakley1689 Nope, the vaccines are fine. Scientists across the world are assessing them with objective data and the OVERWHELMING consensus is they A) work and B) are safe for most people. You're blowing this out of proportion AND seeking out bad info to confirm your anti-vaccine bias. Stop."," nope the vaccines are fine scientists across the world are assessing them with objective data and the overwhelming consensus is they a work and b are safe for most people youre blowing this out of proportion and seeking out bad info to confirm your antivaccine bias stop"
"Motivation724","It's Experimental! Not a Vaccine!

Sir Rod Stewart only allowing triple-vaccinated guests into Christmas party as he blasts â€˜killerâ€™ anti-vaxxers.
 https://t.co/C2F5TzSFUr","it experimental not a vaccinesir rod stewart only allowing triplevaccinated guests into christmas party as he blasts â€˜killerâ€™ antivaxxers "
"nycgunner74","@GOP Which policies? Tax cuts for the rich? Detaining kids at the border? Anti mask and anti vaccine?? Which policies"," which policies tax cuts for the rich detaining kids at the border anti mask and anti vaccine which policies"
"GenZSuck","@stillgray Is that an unvaccinated leper?  She probably refuses to wear an AIDS ribbon too.  Democrats want anti-vaxxers put to death for risking their lives.  Imagine being vaccinated and still fearing death from the virus that the vaccine is supposed to protect you from."," is that an unvaccinated leper  she probably refuses to wear an aids ribbon too  democrats want antivaxxers put to death for risking their lives  imagine being vaccinated and still fearing death from the virus that the vaccine is supposed to protect you from"
"CrystalChild59","Anti-vaccine Christian broadcaster Marcus Lamb dies at 64 after contracting Covid - NBC News

Oh wellâ€¦ https://t.co/ctqFzL58aI","antivaccine christian broadcaster marcus lamb dies at  after contracting covid  nbc newsoh wellâ€ "
"JClickbaited","An anti-vaccine ad by an Orthodox group briefly took over a Crown Heights bus stop â€“ The Forward https://t.co/yWqey3XZ6S","an antivaccine ad by an orthodox group briefly took over a crown heights bus stop â€“ the forward "
"rockelliegames","My momâ€™s friend sent her an â€œadverse research covid vaccine report.â€

She printed it.

I read it. It was not a true research/study. It is an anti-organization trying to recruit under the guise of research. 

Itâ€™s sick knowing someone tried to take advantage of her. Sick <U+0001F92E> https://t.co/QGyTIMudoh","my momâ€™s friend sent her an â€œadverse research covid vaccine reportâ€she printed iti read it it was not a true researchstudy it is an antiorganization trying to recruit under the guise of research itâ€™s sick knowing someone tried to take advantage of her sick ufe "
"SCMwritesplays","@maddiecorman Sadly, my entire family is anti-vaxx. I am boostered, so am going to take the risk as my grandparents have dementia and little time left. They wouldâ€™ve taken the vaccine had they had their wits still :( But other than that, I will only mingle with those fully vaxxed."," sadly my entire family is antivaxx i am boostered so am going to take the risk as my grandparents have dementia and little time left they wouldâ€™ve taken the vaccine had they had their wits still  but other than that i will only mingle with those fully vaxxed"
"TorradoFilipe","@TheMarieOakes <U+0001F605> Should assemble the anti vaccine crowd every week and let them die (and make them pay for the hospitalisations)"," uf should assemble the anti vaccine crowd every week and let them die and make them pay for the hospitalisations"
"binfe","@digitaltrader @PalmerReport Nope youâ€™ve missed the point. Theyâ€™re anti vaccine until the rubber hits the road. I wouldnâ€™t want to enter a restaurant wherein sits an unvaccinated person and I will vote to ensure that I can and he cannot.","  nope youâ€™ve missed the point theyâ€™re anti vaccine until the rubber hits the road i wouldnâ€™t want to enter a restaurant wherein sits an unvaccinated person and i will vote to ensure that i can and he cannot"
"JoniBeGood66","I'm not anti-vaccine, but I am anti-vaccine mandates. I'm not convinced they work and I don't understand how anyone can be so certain they do that they feel they have the right to require someone else get vaccinated. https://t.co/fjWYf3CGH7","im not antivaccine but i am antivaccine mandates im not convinced they work and i dont understand how anyone can be so certain they do that they feel they have the right to require someone else get vaccinated "
"DioCyde","@jcraven22420 @LisaFaire5 @ItsaMeChristina @mmpadellan You're talking about it now because he said anti vaccine bullshit and you're trying to cancel him out of relevancy. Yet you refuse to do the same to others.","    youre talking about it now because he said anti vaccine bullshit and youre trying to cancel him out of relevancy yet you refuse to do the same to others"
"1813Doncarlo","You need to stop posting FOX-fed anti-vaccine misinformation. https://t.co/5nCvI6lYmt","you need to stop posting foxfed antivaccine misinformation "
"12thHouseMars","every â€œpro-vaccineâ€ and â€œanti-vaccineâ€ person on here just regurgitate the same talking points over and over and wish death on each other. absolutely wild.","every â€œprovaccineâ€ and â€œantivaccineâ€ person on here just regurgitate the same talking points over and over and wish death on each other absolutely wild"
"khankiso","Paul Krugman argues the GOP is 'pro-COVID' and is trying to 'keep the pandemic going' https://t.co/FobRMFw1kg","paul krugman argues the gop is procovid and is trying to keep the pandemic going "
"bazakel","@newscomauHQ These stories shouldnâ€™t be reported by the media because all it does is deter the hesitant from getting the vaccine and fuel the crazed imagination of the anti-vaxxers."," these stories shouldnâ€™t be reported by the media because all it does is deter the hesitant from getting the vaccine and fuel the crazed imagination of the antivaxxers"
"MarqueDyes","Random hypothetical for Anti Vaxxers:
Imagine the govt just mailed you a box full of 100 COVID self-tests.
A note with the package reads â€œpresent a negative test anywhere in public to bypass vaccine requirements.â€
Do you comply and start taking the tests?","random hypothetical for anti vaxxersimagine the govt just mailed you a box full of  covid selftestsa note with the package reads â€œpresent a negative test anywhere in public to bypass vaccine requirementsâ€do you comply and start taking the tests"
"SimonMoseley1","@piersmorgan I know this sounds harsh but anti vaccine lots should sign an agreement not to be treated"," i know this sounds harsh but anti vaccine lots should sign an agreement not to be treated"
"gogojojo1223","@sportscargarage @MDavidSchafer @Douglas16475773 @jimcramer No actually you didnâ€™t show anything other than news reports and conspiracy theories

Thereâ€™s nothing â€œanti-scienceâ€ about wanting to use a safe and effective vaccine to prevent severe illness in the majority of individuals","    no actually you didnâ€™t show anything other than news reports and conspiracy theoriesthereâ€™s nothing â€œantiscienceâ€ about wanting to use a safe and effective vaccine to prevent severe illness in the majority of individuals"
"JayandSteve","Open SmartNews and read ""Paul Krugman argues the GOP is â€˜pro-COVIDâ€™ and is trying to â€˜keep the pandemic goingâ€™"" here: https://t.co/lu9yj27FBe 
To read it on the web, tap here: https://t.co/3l6uV4lFZn","open smartnews and read paul krugman argues the gop is â€˜procovidâ€™ and is trying to â€˜keep the pandemic goingâ€™ here  to read it on the web tap here "
"silkyvelvett","ppl who call the vaccine the JAB are either ultra conservative anti vaxxers or neolibs","ppl who call the vaccine the jab are either ultra conservative anti vaxxers or neolibs"
"HZAbdulmuttalib","#ABC At least until June 2021, Facebook had significant gaps in its efforts to tackle COVID-19 misinformation from one of the most prominent anti-vaccine groups in the world, according to a study from ISD Global. https://t.co/X92sf6g9ec  @ABC","abc at least until june  facebook had significant gaps in its efforts to tackle covid misinformation from one of the most prominent antivaccine groups in the world according to a study from isd global   "
"PsychoNetsFan","Kyrie-I donâ€™t want to be seen as Anti Vaxx

Also Kyrie-I donâ€™t trust this current vaccine. 

Kyrie- I donâ€™t want to get the vaccine due the possibility of it making me miss more long term games. 

Also Kyrie-Has not played a game since June 2021 https://t.co/wEJW3lvNPq https://t.co/hpzdoykmFw","kyriei donâ€™t want to be seen as anti vaxxalso kyriei donâ€™t trust this current vaccine kyrie i donâ€™t want to get the vaccine due the possibility of it making me miss more long term games also kyriehas not played a game since june   "
"JPRnews","The day before Trump's speech, a homeopathic doctor named Edward Group stood on the same stage and suggested to the audience they should drink their urine as an alternative to getting vaccinated against COVID-19.

https://t.co/UZ8D36AsoK","the day before trump speech a homeopathic doctor named edward group stood on the same stage and suggested to the audience they should drink their urine as an alternative to getting vaccinated against covid"
